UnitCode,BranchID,UnitType,UnitClass,Phase,Section,Block,Lot,UnitCost,RecUser,RecDate
ABC-5-13-L,12,LL,PM,1,5,13,L,10483.13,User 1,6/8/2020
ABC-5-13-M,12,LL,PM,1,5,13,M,10483.13,User 1,6/8/2020
ABC-5-13-N,12,LL,PM,1,5,13,N,10483.13,User 1,6/8/2020
ABC-5-13-P,12,LL,PM,1,5,13,P,10483.13,User 1,6/8/2020
ABC-5-13-S,12,LL,PM,1,5,13,S,10483.13,User 1,6/8/2020
ABC-5-14-L,12,LL,PM,1,5,14,L,10483.13,User 1,6/8/2020
ABC-9-19-A,12,LL,PM,1,9,19,A,10483.13,User 1,6/8/2020
ABC-2-11-Q,12,LL,PM,1,2,11,Q,10483.13,User 1,6/8/2020
ABC-2-18-M,12,LL,PM,1,2,18,M,10483.13,User 1,6/8/2020
ABC-5-20-H,12,LL,PM,1,5,20,H,10483.13,User 1,6/8/2020
ABC-5-21-A,12,LL,PM,1,5,21,A,10483.13,User 1,6/8/2020
ABC-5-22-C,12,LL,SP,1,5,22,C,10483.13,User 1,6/8/2020
ABC-5-22-M,12,LL,PM,1,5,22,M,6975.55,User 1,6/8/2020
ABC-23-7-M,12,LL,PM,2,23,7,M,10483.13,User 1,6/8/2020
ABC-5-17-I,12,LL,PM,1,5,17,I,10483.13,User 1,6/8/2020
ABC-5-17-J,12,LL,PM,1,5,17,J,10483.13,User 1,6/8/2020
ABC-31-21-T,12,LL,PM,2,31,21,T,6975.55,User 1,6/8/2020
ABC-24-27-H,12,LL,PM,2,24,27,H,10483.13,User 1,6/8/2020
ABC-31-33-B,12,LL,PM,2,31,33,B,6975.55,User 1,6/8/2020
ABC-15-19-Q,12,LL,PM,1,15,19,Q,10483.13,User 1,6/8/2020
ABC-23-11-B,12,LL,PM,2,23,11,B,10483.13,User 1,6/8/2020
ABC-23-12-T,12,LL,PR,2,23,12,T,6975.55,User 1,6/8/2020
ABC-31-6-C,12,LL,PR,2,31,6,C,10483.13,User 1,6/8/2020
ABC-2-20-M,12,LL,PM,1,2,20,M,10483.13,User 1,6/8/2020
ABC-5-17-S,12,LL,SP,1,5,17,S,10483.13,User 1,6/8/2020
ABC-5-18-F,12,LL,PM,1,5,18,F,10483.13,User 1,6/8/2020
ABC-31-4-Q,12,LL,PM,2,31,4,Q,10483.13,User 1,6/8/2020
ABC-5-19-E,12,LL,PM,1,5,19,E,10483.13,User 1,6/8/2020
ABC-5-20-E,12,LL,PM,1,5,20,E,10483.13,User 1,6/8/2020
ABC-5-20-G,12,LL,PM,1,5,20,G,10483.13,User 1,6/8/2020
ABC-5-1-T,12,LL,PM,1,5,1,T,10483.13,User 1,6/8/2020
ABC-9-9-A,12,LL,PM,1,9,9,A,10483.13,User 1,6/8/2020
ABC-5-28-B,12,LL,SP,1,5,28,B,10483.13,User 1,6/8/2020
ABC-32-21-Q,12,LL,PM,2,32,21,Q,6975.55,User 1,6/8/2020
ABC-23-15-D,12,LL,PM,2,23,15,D,10483.13,User 1,6/8/2020
ABC-23-15-E,12,LL,PM,2,23,15,E,10483.13,User 1,6/8/2020
ABC-9-11-N,12,LL,PM,1,9,11,N,6975.55,User 1,6/8/2020
ABC-9-11-O,12,LL,PM,1,9,11,O,6975.55,User 1,6/8/2020
ABC-18-19-R,12,LL,PM,1,18,19,R,10483.13,User 1,6/8/2020
ABC-18-19-S,12,LL,PM,1,18,19,S,10483.13,User 1,6/8/2020
ABC-18-19-T,12,LL,PM,1,18,19,T,10483.13,User 1,6/8/2020
ABC-32-30-H,12,LL,PR,2,32,30,H,10483.13,User 1,6/8/2020
ABC-24-31-N,12,LL,PM,2,24,31,N,10483.13,User 1,6/8/2020
ABC-24-31-T,12,LL,PM,2,24,31,T,10483.13,User 1,6/8/2020
ABC-24-37-K,12,LL,PR,2,24,37,K,6975.55,User 1,6/8/2020
ABC-8-33-F,12,LL,SP,1,8,33,F,10483.13,User 1,6/8/2020
ABC-2-34-N,12,LL,PR,1,2,34,N,6975.55,User 1,6/8/2020
ABC-2-34-O,12,LL,PR,1,2,34,O,6975.55,User 1,6/8/2020
ABC-5-12-E,12,LL,PM,1,5,12,E,10483.13,User 1,6/8/2020
ABC-15-29-M,12,LL,PM,1,15,29,M,6975.55,User 1,6/8/2020
ABC-15-29-N,12,LL,PM,1,15,29,N,10483.13,User 1,6/8/2020
ABC-15-29-R,12,LL,PM,1,15,29,R,10483.13,User 1,6/8/2020
ABC-10-28-C,12,LL,PM,1,10,28,C,10483.13,User 1,6/8/2020
