TransactionNo,BranchID,ReservationDate,FinancingType,ClientID,SourceofSale,StatusCode,UnitCode,LotPrice,Vat,GrossLotPrice,SalesDisc,NetLotPrice,Misc,TCP
012-2024-RS-000010,12,1/13/2024,SPOT,965226,AGT,11,ABC-9-19-A,63616.07,7633.93,71250,14250,57000,23750,80750
 '021-2024-RS-000106',21,1/20/2024,SPOT,965365,AGT,11,KLM-13-8-K,73660.71,8839.29,82500,16500,66000,27500,93500
014-2024-RS-000111,14,1/20/2024,SPOT,965367,AGT,11,EFG-3-12-V,99687.5,11962.5,111650,16747.5,94902.5,33350,128252.5
012-2024-RS-000017,12,1/20/2024,SPOT,965378,AGT,11,ABC-19-18-K,63616.07,7633.93,71250,14250,57000,23750,80750
012-2024-RS-000018,12,1/20/2024,SPOT,965378,AGT,11,ABC-19-18-L,63616.07,7633.93,71250,14250,57000,23750,80750
014-2024-RS-000112,14,1/22/2024,SPOT,965386,AGT,11,EFG-3-4-U,99687.5,11962.5,111650,16747.5,94902.5,33350,128252.5
018-2024-RS-000121,18,1/22/2024,INH,965391,AGT,11,HIJ-11-26-H,66964.29,8035.71,75000,0,75000,25000,100000
018-2024-RS-000128,18,1/25/2024,SPOT,965424,AGT,11,HIJ-11-20-T,66964.29,8035.71,75000,11250,63750,25000,88750
018-2024-RS-000138,18,1/29/2024,SPOT,965514,AGT,11,HIJ-11-18-P,66964.29,8035.71,75000,15000,60000,25000,85000
018-2024-RS-000140,18,1/29/2024,SPOT,965514,AGT,11,HIJ-11-18-Q,66964.29,8035.71,75000,15000,60000,25000,85000
018-2024-RS-000141,18,1/29/2024,SPOT,965514,AGT,11,HIJ-11-18-R,66964.29,8035.71,75000,15000,60000,25000,85000
018-2024-RS-000142,18,1/29/2024,SPOT,965514,AGT,11,HIJ-11-18-K,66964.29,8035.71,75000,15000,60000,25000,85000
018-2024-RS-000143,18,1/29/2024,SPOT,965514,AGT,11,HIJ-11-18-L,66964.29,8035.71,75000,15000,60000,25000,85000
018-2024-RS-000144,18,1/29/2024,SPOT,965514,AGT,11,HIJ-11-18-M,66964.29,8035.71,75000,15000,60000,25000,85000
018-2024-RS-000145,18,1/30/2024,SPOT,943948,AGT,11,HIJ-11-18-S,66964.29,8035.71,75000,15000,60000,25000,85000
018-2024-RS-000146,18,1/30/2024,SPOT,943948,AGT,11,HIJ-11-18-T,66964.29,8035.71,75000,15000,60000,25000,85000
018-2024-RS-000147,18,1/30/2024,SPOT,943948,AGT,11,HIJ-11-18-N,66964.29,8035.71,75000,15000,60000,25000,85000
018-2024-RS-000148,18,1/30/2024,SPOT,943948,AGT,11,HIJ-11-18-O,66964.29,8035.71,75000,15000,60000,25000,85000
018-2024-RS-000149,18,1/30/2024,SPOT,965517,AGT,11,HIJ-17-5-B,78348.21,9401.79,87750,17550,70200,29250,99450
018-2024-RS-000158,18,1/30/2024,SPOT,965598,AGT,11,HIJ-16-10-L,66964.29,8035.71,75000,15000,60000,25000,85000
018-2024-RS-000159,18,1/30/2024,SPOT,965595,AGT,11,HIJ-16-10-K,66964.29,8035.71,75000,15000,60000,25000,85000
018-2024-RS-000183,18,1/31/2024,SPOT,961243,AGT,11,HIJ-16-4-L,66964.29,8035.71,75000,15000,60000,25000,85000
018-2024-RS-000184,18,1/31/2024,SPOT,961243,AGT,11,HIJ-16-4-K,66964.29,8035.71,75000,15000,60000,25000,85000
018-2024-RS-000185,18,1/31/2024,SPOT,965633,AGT,11,HIJ-11-8-Q,66964.29,8035.71,75000,15000,60000,25000,85000
014-2024-RS-000124,14,2/5/2024,SPOT,965675,AGT,11,EFG-6-34-T,113437.5,13612.5,127050,19057.5,107992.5,37950,145942.5
014-2024-RS-000125,14,2/5/2024,SPOT,965676,AGT,11,EFG-6-35-P,113437.5,13612.5,127050,19057.5,107992.5,37950,145942.5
018-2024-RS-000225,18,2/10/2024,SPOT,965770,AGT,11,HIJ-26A-1-N,1004464.29,120535.71,1125000,168750,956250,375000,1331250
018-2024-RS-000226,18,2/12/2024,SPOT,965783,AGT,11,HIJ-11-28-A,93750,11250,105000,0,105000,35000,140000
014-2024-RS-000132,14,2/15/2024,SPOT,965812,AGT,11,EFG-6-36-Q,106562.5,12787.5,119350,17902.5,101447.5,35650,137097.5
014-2024-RS-000133,14,2/15/2024,SPOT,965812,AGT,11,EFG-6-36-R,106562.5,12787.5,119350,17902.5,101447.5,35650,137097.5
014-2024-RS-000138,14,2/19/2024,SPOT,965866,AGT,11,EFG-6-35-S,106562.5,12787.5,119350,17902.5,101447.5,35650,137097.5
018-2024-RS-000254,18,2/26/2024,SPOT,965934,AGT,11,HIJ-18-19-C,66964.29,8035.71,75000,11250,63750,25000,88750
018-2024-RS-000237,18,2/26/2024,SPOT,965936,OFCEMP,11,HIJ-27-32-K,78348.21,9401.79,87750,13162.5,74587.5,29250,103837.5
018-2024-RS-000238,18,2/26/2024,SPOT,965940,OFCEMP,11,HIJ-27-32-L,78348.21,9401.79,87750,13162.5,74587.5,29250,103837.5
014-2024-RS-000153,14,2/26/2024,SPOT,965742,OFCEMP,11,EFG-3-12-A,99687.5,11962.5,111650,22330,89320,33350,122670
018-2024-RS-000239,18,2/26/2024,SPOT,965943,OFCEMP,11,HIJ-27-32-J,78348.21,9401.79,87750,13162.5,74587.5,29250,103837.5
018-2024-RS-000260,18,2/26/2024,SPOT,965972,AGT,11,HIJ-27-41-I,78348.21,9401.79,87750,13162.5,74587.5,29250,103837.5
018-2024-RS-M007830,18,2/28/2024,INH,965331,OFC,11,HIJ-11-13-Q,102678.57,12321.43,115000,0,115000,25000,140000
014-2024-RS-000166,14,2/28/2024,SPOT,966041,AGT,11,EFG-9-12-A,99687.5,11962.5,111650,16747.5,94902.5,33350,128252.5
018-2024-RS-000290,18,2/29/2024,SPOT,966112,AGT,11,HIJ-18-21-K,66964.29,8035.71,75000,11250,63750,25000,88750
018-2024-RS-000291,18,2/29/2024,SPOT,966112,AGT,11,HIJ-18-21-L,66964.29,8035.71,75000,11250,63750,25000,88750
014-2024-RS-000177,14,3/2/2024,SPOT,966180,AGT,11,EFG-6-32-X,113437.5,13612.5,127050,19057.5,107992.5,37950,145942.5
014-2024-RS-000179,14,3/4/2024,SPOT,966185,AGT,11,EFG-6-24-H,113437.5,13612.5,127050,19057.5,107992.5,37950,145942.5
014-2024-RS-000185,14,3/6/2024,SPOT,966180,AGT,11,EFG-6-32-W,113437.5,13612.5,127050,19057.5,107992.5,37950,145942.5
014-2024-RS-000186,14,3/6/2024,SPOT,966180,AGT,11,EFG-6-32-V,106562.5,12787.5,119350,17902.5,101447.5,35650,137097.5
018-2024-RS-000312,18,3/16/2024,SPOT,962864,AGT,11,HIJ-18-25-J,66964.29,8035.71,75000,11250,63750,25000,88750
014-2024-RS-000198,14,3/25/2024,SPOT,966431,AGT,11,EFG-4-14-L,113437.5,13612.5,127050,30492,96558,37950,134508
014-2024-RS-000204,14,3/25/2024,SPOT,966434,AGT,11,EFG-6-8-F,113437.5,13612.5,127050,25410,101640,37950,139590
014-2024-RS-000205,14,3/25/2024,SPOT,966434,AGT,11,EFG-6-8-D,113437.5,13612.5,127050,25410,101640,37950,139590
014-2024-RS-000206,14,3/25/2024,SPOT,966434,AGT,11,EFG-6-8-E,113437.5,13612.5,127050,25410,101640,37950,139590
018-2024-RS-000323,18,3/25/2024,SPOT,966520,AGT,11,HIJ-27-40-I,78348.21,9401.79,87750,13162.5,74587.5,29250,103837.5
