SellingID,BranchID,Phase,UnitType,UnitClass,LotPrice,MCF,TCP,EffectiveDate,Recuser
1,12,1,FE,PR,1425000,475000,1900000,7/3/2024,User1
2,12,1,LLO,PR,36000,12000,48000,7/3/2024,User1
3,12,1,LL,PM,71250,23750,95000,7/3/2024,User1
4,12,1,LL,SP,78750,26250,105000,7/3/2024,User1
5,12,1,LL,PR,90000,30000,120000,7/3/2024,User1
6,12,1,LL-S,PM,78750,26250,105000,7/3/2024,User1
7,12,1,GN,PM,300000,100000,400000,7/3/2024,User1
8,12,2,LL,SP,78750,26250,105000,7/3/2024,User1
9,12,2,LL,PR,90000,30000,120000,7/3/2024,User1
10,12,2,GN,PM,300000,100000,400000,7/3/2024,User1
11,12,2,GN,SP,318750,106250,425000,7/3/2024,User1
12,12,2,GN,PR,363750,121250,485000,7/3/2024,User1
13,12,2,FP,PM,562500,187500,750000,7/3/2024,User1
14,12,1,FE,PM,1200000,400000,1600000,7/1/2024,User1
15,12,1,FE,PR,1350000,450000,1800000,7/1/2024,User1
16,12,1,LLO,PR,36000,12000,48000,7/1/2024,User1
17,12,1,LL-S,PM,78750,26250,105000,7/1/2024,User1
18,12,1,LL-S,SP,86250,28750,115000,7/1/2024,User1
19,12,1,LL-S,PR,97500,32500,130000,7/1/2024,User1
20,12,1,LL,PM,71250,23750,95000,7/1/2024,User1
21,12,1,LL,SP,78750,26250,105000,7/1/2024,User1
22,12,1,LL,SP,78750,26250,105000,6/30/2024,User1
23,12,1,LL,PR,90000,30000,120000,6/30/2024,User1
24,12,1,GN,PM,300000,100000,400000,6/30/2024,User1
25,12,1,GN,SP,318750,106250,425000,6/30/2024,User1
26,12,1,GN,PR,363750,121250,485000,6/30/2024,User1
27,12,1,FP,PM,562500,187500,750000,6/30/2024,User1
28,12,1,FP,PR,637500,212500,850000,6/30/2024,User1
29,12,1,FE,PM,1200000,400000,1600000,6/30/2024,User1
30,12,1,FE,PR,1350000,450000,1800000,6/30/2024,User1
31,12,1,LLO,PR,36000,12000,48000,6/30/2024,User1
32,12,1,LL-S,PM,78750,26250,105000,6/30/2024,User1
33,12,1,LL-S,SP,86250,28750,115000,6/30/2024,User1
34,12,1,LL-S,PR,97500,32500,130000,6/30/2024,User1
35,12,1,LL,PM,71250,23750,95000,6/30/2024,User1
36,12,1,LL-S,SP,90000,30000,120000,7/3/2024,User1
37,12,1,LL-S,PR,97500,32500,130000,7/3/2024,User1
38,12,1,GN,SP,318750,106250,425000,7/3/2024,User1
39,12,1,GN,PR,363750,121250,485000,7/3/2024,User1
40,12,1,FP,PM,562500,187500,750000,7/3/2024,User1
41,12,1,FP,PR,637500,212500,850000,7/3/2024,User1
42,12,1,FE,PM,1275000,425000,1700000,7/3/2024,User1
43,12,2,FP,PR,637500,212500,850000,7/3/2024,User1
44,12,2,FE,PM,1125000,375000,1500000,7/3/2024,User1
45,12,2,FE,PR,1237500,412500,1650000,7/3/2024,User1
46,12,2,LL,PM,71250,23750,95000,7/3/2024,User1
47,12,1,FE,PM,1200000,400000,1600000,4/27/2024,User1
48,12,1,FE,PR,1350000,450000,1800000,4/27/2024,User1
49,12,1,LLO,PR,36000,12000,48000,4/27/2024,User1
50,12,1,LL,SP,78750,26250,105000,4/27/2024,User1
51,12,1,LL,PR,90000,30000,120000,4/27/2024,User1
52,12,1,GN,PM,300000,100000,400000,4/27/2024,User1
53,12,1,LL,PM,71250,23750,95000,4/27/2024,User1
54,12,1,FP,PR,637500,212500,850000,4/27/2024,User1
55,12,1,GN,SP,318750,106250,425000,4/27/2024,User1
56,12,1,GN,PR,363750,121250,485000,4/27/2024,User1
57,12,1,FP,PM,562500,187500,750000,4/27/2024,User1
58,12,1,LL,PM,71250,23750,95000,2/28/2024,User1
59,12,1,LL,SP,78750,26250,105000,2/28/2024,User1
60,12,1,LL,PR,90000,30000,120000,2/28/2024,User1
61,12,1,GN,PM,300000,100000,400000,2/28/2024,User1
62,12,1,GN,PR,363750,121250,485000,2/28/2024,User1
63,12,1,GN,SP,318750,106250,425000,2/28/2024,User1
64,12,1,GN,SP,363750,121250,485000,2/28/2024,User1
65,12,1,FP,PM,562500,187500,750000,2/28/2024,User1
66,12,1,FP,PR,637500,212500,850000,2/28/2024,User1
67,12,1,FE,PM,1200000,400000,1600000,2/28/2024,User1
68,12,1,FE,PR,1350000,450000,1800000,2/28/2024,User1
69,12,1,LLO,PR,36000,12000,48000,2/28/2024,User1
70,12,2,LL,PM,67500,22500,90000,2/28/2024,User1
71,12,2,LL,SP,69750,23250,93000,2/28/2024,User1
72,12,2,LL,PR,73500,24500,98000,2/28/2024,User1
73,12,2,GN,PM,285000,95000,380000,2/28/2024,User1
74,12,2,GN,PR,307500,102500,410000,2/28/2024,User1
75,12,2,GN,SP,292500,97500,390000,2/28/2024,User1
76,12,2,FP,PM,517500,172500,690000,2/28/2024,User1
77,12,2,FP,PR,540000,180000,720000,2/28/2024,User1
78,12,2,FE,PM,1050000,350000,1400000,2/28/2024,User1
79,12,2,FE,PR,1087500,362500,1450000,2/28/2024,User1
80,12,2,LLO,PR,36000,12000,48000,2/28/2024,User1
81,12,2,LL,PM,67500,22500,90000,4/27/2024,User1
82,12,1,LL,SP,78750,26250,105000,5/6/2024,User1
83,12,1,LL,PR,90000,30000,120000,5/6/2024,User1
84,12,1,GN,PM,300000,100000,400000,5/6/2024,User1
85,12,1,LL,PM,71250,23750,95000,5/6/2024,User1
86,12,1,GN,SP,318750,106250,425000,5/6/2024,User1
87,12,1,GN,PR,363750,121250,485000,5/6/2024,User1
88,12,1,FP,PM,562500,187500,750000,5/6/2024,User1
89,12,1,FP,PR,637500,212500,850000,5/6/2024,User1
90,12,1,FE,PM,1200000,400000,1600000,5/6/2024,User1
91,12,1,FE,PR,1350000,450000,1800000,5/6/2024,User1
92,12,1,LLO,PR,36000,12000,48000,5/6/2024,User1
93,12,2,FP,PR,540000,180000,720000,5/6/2024,User1
94,12,2,FE,PM,1050000,350000,1400000,5/6/2024,User1
95,12,2,FE,PR,1087500,362500,1450000,5/6/2024,User1
96,12,2,LL,PM,67500,22500,90000,5/6/2024,User1
97,12,2,LL,SP,69750,23250,93000,5/6/2024,User1
98,12,2,LL,PR,73500,24500,98000,5/6/2024,User1
99,12,2,GN,PM,285000,95000,380000,5/6/2024,User1
100,12,2,GN,SP,292500,97500,390000,5/6/2024,User1
101,12,2,GN,PR,307500,102500,410000,5/6/2024,User1
102,12,2,FP,PM,517500,172500,690000,5/6/2024,User1
103,12,2,LL,SP,69750,23250,93000,4/27/2024,User1
104,12,2,LL,PR,73500,24500,98000,4/27/2024,User1
105,12,2,GN,PM,285000,95000,380000,4/27/2024,User1
106,12,2,GN,SP,292500,97500,390000,4/27/2024,User1
107,12,2,GN,PR,307500,102500,410000,4/27/2024,User1
108,12,2,FP,PM,517500,172500,690000,4/27/2024,User1
109,12,2,FP,PR,540000,180000,720000,4/27/2024,User1
110,12,2,FE,PM,1050000,350000,1400000,4/27/2024,User1
111,12,2,FE,PR,1087500,362500,1450000,4/27/2024,User1
112,12,1,LL,PM,71250,23750,95000,5/30/2024,User1
113,12,1,LL,SP,78750,26250,105000,5/30/2024,User1
