UnitClass,Description,RecDate
BG1,Back Gallery - 1st Level,1/1/2018
BG2,Back Gallery - 2nd Level,1/1/2018
BG3,Back Gallery - 3rd Level,1/1/2018
BG4,Back Gallery - 4th Level,1/1/2018
BG5,Back gallery - 5th Level,1/1/2018
BG6,Back gallery - 6th Level,1/1/2018
COL,Columbarium,1/1/2018
EV1,End Vault- 1st Level,6/23/2020
EV2,End Vault- 2nd Level,6/23/2020
EV3,End Vault- 3rd Level,6/23/2020
EV4,End Vault- 4th Level,6/23/2020
EV5,End Vault- 5th Level,6/23/2020
EZE1,Ezekiel I,1/1/2018
EZE2,Ezekiel II,1/1/2018
EZE3,Ezekiel III,1/1/2018
EZE4,Ezekiel IV,1/1/2018
EZE5,Ezekiel V,1/1/2018
FC,Family Columbarium,1/1/2018
FE-13B,"FE - 13 Lots (LOT B, 31.5 SQM)",6/15/2020
FE-16B,"FE - 16 Lots (LOT B, 39 SQM)",6/15/2020
FE-16C,"FE - 16 Lots (LOT C, 39.7 SQM)",6/15/2020
FE10,FE - 10 Lots,1/1/2018
FE10-B,"FE - 10 Lots (LOT B, 25.03 SQM)",1/15/2020
FE10-C,"FE - 10 Lots (LOT C, 25.32 SQM)",1/15/2020
FE10-D,FE - 10 Lots (LOT D 25.03 SQM),2/1/2020
FE10-E,"FE - 10 Lots (LOT E, 23.82 SQM)",1/15/2020
FE10-F,"FE - 10 Lots (LOT F, 24.91 SQM)",1/15/2020
FE10-PM,FE-10 Lots (Premium),8/10/2021
FE10-PR,FE- 10 Lots (Prime),1/8/2021
FE11,FE - 11 Lots,1/1/2018
FE11-A,"FE - 11 LOTS (LOT A, 27.1 SQM)",6/15/2020
FE11-B,"FE - 11 LOTS (LOT B, 28.5 SQM)",6/15/2020
FE11-PM,FE-11 Lots (Premium),1/20/2022
FE11-SP,FE- 11 Lots (Special Premium),1/8/2021
FE12,FE - 12 Lots,1/1/2018
FE12-B,FE - 12 Lots (LOT B 30 SQM),2/1/2020
FE12-PM,FE- 12 Lots (Premium),1/8/2021
FE12-PR,FE- 12 Lots (Prime),6/11/2020
FE12-SP,FE- 12 Lots (Special Premium),6/11/2020
FE12PM,FE - 12 LOTS (PREMIUM),3/14/2020
FE12PR,FE - 12 Lots (Prime),1/29/2019
FE12SP,FE - 12 Lots (Special Premium),1/29/2019
FE13,FE - 13 Lots,1/1/2018
FE13-A,"FE - 13 LOTS (LOT A, 31.3 SQM)",6/15/2020
FE13-B,FE - 13 Lots  (LOT B 33.72 SQM),2/1/2020
FE13-C,"FE - 13 LOTS (LOT C, 31.8 SQM)",6/15/2020
FE13-D,"FE - 13 LOTS (LOT D, 32 SQM)",6/15/2020
FE13-E,"FE - 13 LOTS (LOT E, 32.8 SQM)",6/15/2020
FE13-F,"FE - 13 LOTS (LOT F, 32.9 SQM)",6/15/2020
FE13-G,"FE - 13 LOTS (LOT G, 33 SQM)",6/15/2020
FE13-H,"FE - 13 LOTS (LOT H, 33.6 SQM)",6/15/2020
FE13-I,"FE - 13 LOTS (LOT I, 33.7 SQM)",6/15/2020
FE13-PM,FE- 13 Lots (Premium),1/8/2021
FE13-PR,FE- 13 Lots (Prime),6/11/2020
FE13-SP,FE- 13 Lots (Special Premium),6/11/2020
FE13PR,FE - 13 Lots (Prime),3/21/2023
FE14,FE - 14 Lots,1/1/2018
FE14-A,"FE - 14 LOTS (LOT A, 33.8 SQM)",6/15/2020
FE14-B,"FE - 14 LOTS (LOT B, 34 SQM)",6/15/2020
FE14-C,"FE - 14 LOTS (LOT C, 34.1 SQM)",6/15/2020
FE14-D,"FE - 14 LOTS (LOT D, 34.2 SQM)",6/15/2020
FE14-E,"FE - 14 LOTS (LOT E, 34.7 SQM)",6/15/2020
FE14-ELITE,FE-14 Lots (Elite),3/2/2022
FE14-F,"FE - 14 LOTS (LOT F, 35.4 SQM)",6/15/2020
FE14-G,"FE - 14 LOTS (LOT G, 35.5 SQM)",6/15/2020
FE14-H,"FE - 14 LOTS (LOT H, 35.7 SQM)",6/15/2020
FE14-I,"FE - 14 LOTS (LOT I, 36.1 SQM)",6/15/2020
FE14-J,"FE - 14 LOTS (LOT J, 36.2 SQM)",6/15/2020
FE14-PM,FE- 14 Lots (Premium),1/8/2021
FE14-PR,FE- 14 Lots (Prime),6/11/2020
FE14-SP,FE-14 Lots (Special Premium),1/20/2022
FE14SP,FE - 14 LOTS (SPECIAL PREMIUM),11/2/2021
FE15,FE - 15 Lots,1/1/2018
FE15-A,"FE - 15 LOTS (LOT A, 36.6 SQM)",6/15/2020
FE15-B,"FE - 15 LOTS (LOT B, 36.7 SQM)",6/15/2020
FE15-C,"FE - 15 LOTS (LOT C, 36.9 SQM)",6/15/2020
FE15-D,"FE - 15 LOTS (LOT D, 37 SQM)",6/15/2020
FE15-E,"FE - 15 LOTS (LOT E, 37.1 SQM)",6/15/2020
FE15-ELITE,FE-15 Lots (Elite),3/2/2022
FE15-F,"FE - 15 LOTS (LOT F, 37.2 SQM)",6/15/2020
FE15-G,"FE - 15 LOTS (LOT G, 37.4 SQM)",6/15/2020
FE15-H,"FE - 15 LOTS (LOT H, 37.6 SQM)",6/15/2020
FE15-I,"FE - 15 LOTS (LOT I, 37.7 SQM)",6/15/2020
FE15-J,"FE - 15 LOTS (LOT J, 37.8 SQM)",6/15/2020
FE15-K,"FE - 15 LOTS (LOT K, 38 SQM)",6/15/2020
FE15-L,"FE - 15 LOTS (LOT L, 38.1 SQM)",6/15/2020
FE15-M,"FE - 15 LOTS (LOT M, 38.5 SQM)",6/15/2020
FE15-PM,FE- 15 Lots (Premium),1/8/2021
FE15-PR,FE- 15 Lots (Prime),6/11/2020
FE15-SP,FE- 15 Lots (Special Premium),6/11/2020
FE15PM,FE - 15 LOTS (PREMIUM),3/14/2020
FE15SP,FE - 15 LOTS (SPECIAL PREMIUM),3/14/2020
FE16,FE - 16 Lots,1/1/2018
FE16-A,"FE - 16 LOTS (LOT A, 38.9 SQM)",6/15/2020
FE16-B,FE - 16 Lots  (LOT B 40.96 SQM),2/1/2020
FE16-C,FE - 16 Lots (LOT C 41.22 SQM),2/1/2020
FE16-D,"FE - 16 LOTS (LOT D, 40.3 SQM)",6/15/2020
FE16-E,"FE - 16 LOTS (LOT E, 40.6 SQM)",6/15/2020
FE16-ELITE,FE-16 Lots (Elite),3/2/2022
FE16-F,"FE - 16 LOTS (LOT F, 40.8 SQM)",6/15/2020
FE16-G,"FE - 16 LOTS (LOT G, 41 SQM)",6/15/2020
FE16-PM,FE- 16 Lots (Premium),1/8/2021
FE16-PR,FE- 16 Lots (Prime),6/11/2020
FE16-SP,FE- 16 Lots (Special Premium),6/11/2020
FE16PM,FE - 16 LOTS (PREMIUM),11/2/2021
FE16PR,FE - 16 LOTS (PRIME),11/2/2021
FE17,FE - 17 Lots,1/1/2018
FE17-A,"FE - 17 LOTS (LOT A, 41.3 SQM)",6/15/2020
FE17-B,"FE - 17 LOTS (LOT B, 41.9 SQM)",6/15/2020
FE17-C,"FE - 17 LOTS (LOT C, 42.3 SQM)",6/15/2020
FE17-D,"FE - 17 LOTS (LOT D, 42.7 SQM)",6/15/2020
FE17-E,"FE - 17 LOTS (LOT E, 43.4 SQM)",6/15/2020
FE17-ELITE,FE-17 Lots (Elite),3/2/2022
FE17-PM,FE- 17 Lots (Premium),1/8/2021
FE17-PR,FE- 17 Lots (Prime),1/8/2021
FE17-SP,FE- 17 Lots (Special Premium),1/8/2021
FE17PM,FE - 17 LOTS (PREMIUM),11/2/2021
FE17PR,FE - 17 LOTS (PRIME),11/2/2021
FE18,FE - 18 Lots,1/1/2018
FE18-A,"FE - 18 LOTS (LOT A, 44.1 SQM)",6/15/2020
FE18-B,"FE - 18 LOTS (LOT B, 45.7 SQM)",6/15/2020
FE18-ELITE,FE-18 Lots (Elite),3/2/2022
FE18-PM,FE- 18 Lots (Premium),1/8/2021
FE18-PR,FE- 18 Lots (Prime),6/11/2020
FE18-SP,FE- 18 Lots (Special Premium),1/8/2021
FE18PM,FE - 18 LOTS (PREMIUM),3/14/2020
FE18PR,FE - 18 LOTS (PRIME),11/2/2021
FE18SP,FE - 18 LOTS (SPECIAL PREMIUM),3/26/2020
FE19,FE - 19 Lots,1/1/2018
FE19-A,"FE - 19 LOTS (LOT A, 47.3 SQM)",6/15/2020
FE19-B,"FE - 19 LOTS (LOT B, 48.3 SQM)",6/15/2020
FE19-C,"FE - 19 LOTS (LOT C, 48.5 SQM)",6/15/2020
FE19-ELITE,FE-19 Lots (Elite),3/2/2022
FE19-PM,FE- 19 Lots (Premium),1/8/2021
FE19-PR,FE- 19 Lots (Prime),1/6/2021
FE19-SP,FE- 19 Lots (Special Premium),7/23/2022
FE19PM,FE - 19 LOTS (PREMIUM),11/2/2021
FE20,FE - 20 Lots,1/1/2018
FE20-A,"FE - 20 LOTS (LOT A, 50.7 SQM)",6/15/2020
FE20-B,"FE - 20 LOTS (LOT B, 51.2 SQM)",6/15/2020
FE20-PM,FE- 20 Lots (Premium),1/8/2021
FE20-PR,FE- 20 Lots (Prime),1/8/2021
FE20-SP,FE- 20 Lots (Special Premium),1/8/2021
FE21,FE - 21 Lots,1/1/2018
FE21-ELITE,FE-21 Lots (Elite),3/2/2022
FE21-PM,FE- 21 Lots (Premium),1/8/2021
FE21-PR,FE- 21 Lots (Prime),1/8/2021
FE21-SP,FE- 21 Lots (Special Premium),11/11/2022
FE21PM,FE - 21 LOTS (PREMIUM),11/2/2021
FE21PR,FE - 21 LOTS (PRIME),11/2/2021
FE22,FE - 22 Lots,1/1/2018
FE22-ELITE,FE-22 Lots (Elite),11/11/2022
FE22-PM,FE- 22 Lots (Premium),7/23/2022
FE22-PR,FE- 22 Lots (Prime),7/23/2022
FE23,FE - 23 Lots,8/17/2020
FE24,FE - 24 Lots,1/1/2018
FE24-A,"FE - 24 LOTS (LOT A, 59.4 SQM)",6/15/2020
FE24-B,"FE - 24 LOTS (LOT B, 59.6 SQM)",6/15/2020
FE24-C,"FE - 24 LOTS (LOT C, 61 SQM)",6/15/2020
FE24-PR,FE- 24 Lots (Prime),1/8/2021
FE25-PR,FE- 25 Lots (Prime),11/3/2023
FE25-SP,FE- 25 Lots (Special Premium),1/8/2021
FE26-SP,FE- 26 Lots (Special Premium),7/23/2022
FE27,FE - 27 Lots,1/1/2018
FE27-PR,FE- 27 Lots (Prime),1/8/2021
FE28,FE - 28 Lots,1/1/2018
FE29,FE - 29 Lots,1/1/2018
FE29-PR,FE- 29 Lots (Prime),1/8/2021
FE30,FE - 30 Lots,1/1/2018
FE30-PM,FE- 30 Lots (Premium),1/8/2021
FE30-PR,FE- 30 Lots (Prime),1/8/2021
FE32,FE - 32 Lots,1/1/2018
FE32-PR,FE- 32 Lots (Prime),1/8/2021
FE33,FE - 33 Lots,1/1/2018
FE33-PR,FE- 33 Lots (Prime),1/8/2021
FE3PM,Family Estate - 3 lots (Premium),6/28/2022
FE41-PR,FE- 41 Lots (Prime),11/3/2023
FE7,FE - 7 Lots,1/1/2018
FE8,FE - 8 Lots,1/1/2018
FE9,FE - 9 Lots,1/1/2018
FG1,Front Gallery - 1st Level,1/1/2018
FG2,Front Gallery - 2nd Level,1/1/2018
FG3,Front Gallery - 3rd Level,1/1/2018
FG4,Front Gallery - 4th Level,1/1/2018
FG5,Front Gallery - 5th Level,1/1/2018
FG6,Front Gallery - 6th Level,1/1/2018
FP10,FP - 10 Lots,1/1/2018
FP10-PM,FP-10 Lots (Premium),1/20/2022
FP10-PR,FP-10 Lots (Prime),1/20/2022
FP10PR,FP- 10 Lots (Prime),1/8/2021
FP11,FP - 11 Lots,1/1/2018
FP11-PM,FP-11 Lots (Premium),1/20/2022
FP11-PR,FP- 11 Lots (Prime),6/11/2020
FP11SP,FP- 11 Lots (Special Premium),1/8/2021
FP12,FP - 12 Lots,1/1/2018
FP12-PM,FP-12 Lots (Premium),1/20/2022
FP12-PR,FP- 12 Lots (Prime),6/11/2020
FP12PR,FE- 12 Lots (Prime),1/8/2021
FP12SP,FP - 12 Lots (Special  Premium),1/8/2021
FP13,FP - 13 Lots,1/1/2018
FP13-PM,FP-13 Lots (Premium),1/20/2022
FP14,FP - 14 Lots,1/1/2018
FP14PR,FE- 14 Lots (Prime),1/8/2021
FP15,FP - 15 Lots,1/1/2018
FP16,FP - 16 Lots,1/1/2018
FP17,FP - 17 Lots,1/1/2018
FP18,FP - 18 Lots,1/1/2018
FP26,FP - 26 Lots,1/1/2018
FP27,FP - 27 Lots,1/1/2018
FP28,FP - 28 Lots,1/1/2018
FP5,FP - 5 Lots,5/23/2020
FP6,FP - 6 Lots,11/27/2019
FP6PR,FP - 6 lots (Prime),1/19/2023
FP6SP,FP - 6 lots (Special Premium),1/19/2023
FP7,FP - 7 Lots,1/1/2018
FP7-PM,FP-7 Lots (Premium),1/20/2022
FP7-PR,FP-7 Lots (Prime),1/20/2022
FP7-SP,FP-7 Lots (Special  Premium),1/20/2022
FP7PM,FP - 7 Lots (Premium),3/26/2020
FP7PR,FP -7 Lots (Prime),1/29/2019
FP7SP,FP - 7 Lots (Special  Premium),1/29/2019
FP8,FP - 8 Lots,1/1/2018
FP8-PM,FP-8 Lots (Premium),1/20/2022
FP8-PR,FP- 8 Lots (Prime),6/11/2020
FP8-SP,FE- 8 Lots (Special Premium),1/19/2024
FP8SP,FP - 8 Lots (Special  Premium),1/8/2021
FP9,FP - 9 Lots,1/1/2018
FP9-PM,FP-9 Lots (Premium),1/20/2022
FP9SP,FP - 9 Lots (Special  Premium),1/8/2021
GOA1,GOA - 1st Level,1/1/2018
GOA2,GOA - 2nd Level,1/1/2018
GOA3,GOA - 3rd Level,1/1/2018
GOA4,GOA - 4th Level,1/1/2018
GOA5,GOA - 5th Level,1/1/2018
GOH2,GOH - 2nd Level,1/1/2018
GP6,GP - 6 Lots,7/29/2019
IG,Inner Gallery,1/1/2018
IRV1,Irregular Vault - Level 1,1/1/2018
IRV2,Irregular Vault - Level 2,1/1/2018
IRV3,Irregular Vault - Level 3,1/1/2018
IRV4,Irregular Vault - Level 4,1/1/2018
IRV5,Irregular Vault - Level 5,1/1/2018
IV1,Inner Vault - Level 1,1/1/2018
IV2,Inner Vault - Level 2,1/1/2018
IV3,Inner Vault - Level 3,1/1/2018
IV4,Inner Vault - Level 4,1/1/2018
IV5,Inner Vault - Level 5,1/1/2018
LVL1,Level 1,1/1/2018
LVL2,Level 2,1/1/2018
LVL3,Level 3,1/1/2018
LVL4,Level 4,1/1/2018
LVL5,Level 5,1/1/2018
LVL6,Level 6,1/1/2018
LVL7,Level 7,1/1/2018
LVL8,Level 8,1/1/2018
MG1,Middle Gallery - 1st Level,1/1/2018
MG2,Middle Gallery - 2nd Level,1/1/2018
MG3,Middle Gallery - 3rd Level,1/1/2018
MG4,Middle Gallery - 4th Level,1/1/2018
OG,Outer Gallery,1/1/2018
OV1,Outer Vault - Level 1,1/1/2018
OV2,Outer Vault - Level 2,1/1/2018
OV3,Outer Vault - Level 3,1/1/2018
OV4,Outer Vault - Level 4,1/1/2018
OV5,Outer Vault - Level 5,1/1/2018
PM,Premium,1/1/2018
PM-6,Premium - Sec 6,6/23/2018
PM2,Premium 2,1/1/2018
PM3,Premium 3,1/1/2018
PR,Prime,1/1/2018
PR-6,Prime - Sec 6,6/23/2018
PR2,Prime 2,1/1/2018
PR3,Prime 3,7/16/2020
PV1,Pedestal Vault - Level 1,1/1/2018
PV2,Pedestal Vault - Level 2,1/1/2018
PV3,Pedestal Vault - Level 3,1/1/2018
PV4,Pedestal Vault - Level 4,1/1/2018
PV5,Pedestal Vault - Level 5,1/1/2018
SP,Special Premium,1/1/2018
SP-6,Special Premium - Sec 6,6/23/2018
SP2,Special Premium 2,1/1/2018
SP3,Special Premium 3,1/1/2018
TREE,TREE,1/1/2018
URNS,Urn,1/1/2018
XP,Extra Prime,1/1/2018
XP4,Extra Prime 4,1/1/2018
